eventID,eventDate (TimeStamp for your video?),eventTime  (TimeStamp for your video?),eventTimeEnd,occurrenceID,scientificName,SppPrecentCover,PercentCover,basisOfRecord,recordedBy,occurrenceStatus,occurrenceRemarks,identifiedBy,identificationRemarks,Unnamed: 14,Unnamed: 15
MBSTest2024,6/25/2024,00:10:26:00,00:11:00:00,Video_Lassing_001,Syringodium,20.0,100.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:11:00:00,00:11:09:00,Video_Lassing_001,Syringodium,50.0,50.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:11:09:00,00:11:13:00,Video_Lassing_001,,,0.0,Blackfly,,0.0,image all white,Lillian,,,
MBSTest2024,6/25/2024,00:11:13:00,00:11:23:00,Video_Lassing_001,Thalassia,60.0,80.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:11:13:00,00:11:23:00,Video_Lassing_001,Syringodium,20.0,80.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:11:23:00,00:11:36:00,Video_Lassing_001,,,0.0,Blackfly,,0.0,image all white,Lillian,,,
MBSTest2024,6/25/2024,00:11:36:00,00:11:47:00,Video_Lassing_001,Syringodium,100.0,100.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:11:47:00,00:12:08:00,Video_Lassing_001,Syringodium,40.0,40.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:12:08:00,00:12:16:00,Video_Lassing_001,Syringodium,80.0,80.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:12:16:00,00:12:35:00,Video_Lassing_001,Syringodium,50.0,60.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:12:16:00,00:12:35:00,Video_Lassing_001,Thalassia,10.0,60.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:12:35:00,00:12:42:00,Video_Lassing_001,Syringodium,40.0,40.0,Blackfly,,1.0,,Lillian,"There is a large patch of brown/red, possibly brown algae or other species, takes up a large portion of the image",,
MBSTest2024,6/25/2024,00:12:42:00,00:12:49:00,Video_Lassing_001,Syringodium,50.0,90.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:12:42:00,00:12:49:00,Video_Lassing_001,Thalassia,40.0,90.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:12:49:00,00:12:54:00,Video_Lassing_001,Syringodium,30.0,80.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:12:49:00,00:12:54:00,Video_Lassing_001,Thalassia,50.0,80.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:12:54:00,00:13:08:00,Video_Lassing_001,Syringodium,30.0,30.0,Blackfly,,1.0,"image blurry, difficult to idenify species",Lillian,,,
MBSTest2024,6/25/2024,00:13:08:00,00:13:11:00,Video_Lassing_001,Thalassia,100.0,100.0,Blackfly,,1.0,not sure if S present,Lillian,,,
MBSTest2024,6/25/2024,00:13:11:00,00:13:23:00,Video_Lassing_001,Thalassia,40.0,80.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:13:11:00,00:13:23:00,Video_Lassing_001,Syringodium,40.0,80.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:13:23:00,00:13:36:00,Video_Lassing_001,Thalassia,70.0,100.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:13:23:00,00:13:36:00,Video_Lassing_001,Syringodium,30.0,100.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:13:36:00,00:14:12:00,Video_Lassing_001,Thalassia,50.0,70.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:13:36:00,00:14:12:00,Video_Lassing_001,Syringodium,20.0,70.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:14:12:00,00:15:12:00,Video_Lassing_001,Thalassia,40.0,80.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:14:12:00,00:15:12:00,Video_Lassing_001,Syringodium,40.0,80.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:15:12:00,00:15:57:00,Video_Lassing_001,Thalassia,50.0,90.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:15:12:00,00:15:57:00,Video_Lassing_001,Syringodium,40.0,90.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:15:57:00,00:16:32:00,Video_Lassing_001,Thalassia,70.0,90.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:15:57:00,00:16:32:00,Video_Lassing_001,Syringodium,20.0,90.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,00:16:32:00,00:17:14:00,Video_Lassing_001,Thalassia,70.0,70.0,Blackfly,,1.0,not sure if S present,Lillian,,,
MBSTest2024,6/25/2024,00:17:14:00,00:17:54:00,Video_Lassing_001,Thalassia,50.0,70.0,Blackfly,,1.0,,Lillian,,,
MBSTest2024,6/25/2024,,,Video_Lassing_001,,,,Blackfly,,,,,,,
MBSTest2024,6/25/2024,00:11:21:00,00:11:35:67,Video_Lassing_001,Thalassia,40.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:21:00,00:11:35:67,Video_Lassing_001,Syringodium,30.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:36:00,00:11:45:00,Video_Lassing_001,Thalassia,0.0,0.0,Blackfly,,0.0,all white light,Jeromy,,,
MBSTest2024,6/25/2024,00:11:45:33,00:11:54:33,Video_Lassing_001,Thalassia,10.0,90.0,Blackfly,,1.0,some browning of T,Jeromy,,,
MBSTest2024,6/25/2024,00:11:45:33,00:11:54:33,Video_Lassing_001,Syringodium,80.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:54:66,00:11:58:67,Video_Lassing_001,Syringodium,50.0,50.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:11:59:00,00:12:22:33,Video_Lassing_001,Syringodium,70.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:12:22:66,00:12:40:00,Video_Lassing_001,Thalassia,10.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:12:22:66,00:12:40:00,Video_Lassing_001,Syringodium,70.0,80.0,Blackfly,,1.0,S noticeably thinner/shorter than last block,Jeromy,,,
MBSTest2024,6/25/2024,00:12:41:33,00:12:51:67,Video_Lassing_001,Thalassia,10.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:12:41:33,00:12:51:67,Video_Lassing_001,Syringodium,80.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:12:52:00,00:13:05:67,Video_Lassing_001,Thalassia,60.0,90.0,Blackfly,,1.0,video grows blurry,Jeromy,,,
MBSTest2024,6/25/2024,00:12:52:00,00:13:05:67,Video_Lassing_001,Syringodium,30.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:13:06:00,00:13:11:00,Video_Lassing_001,Syringodium,50.0,50.0,Blackfly,,1.0,,Jeromy,"unclear, could be any species other than T",,
MBSTest2024,6/25/2024,00:13:11:33,00:14:36:00,Video_Lassing_001,Thalassia,90.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:14:36:33,00:16:22:33,Video_Lassing_001,Thalassia,70.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:14:36:33,00:16:22:33,Video_Lassing_001,Syringodium,20.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:16:22:66,00:17:43:00,Video_Lassing_001,Thalassia,80.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:17:43:33,00:18:13:00,Video_Lassing_001,Thalassia,60.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:17:43:33,00:18:13:00,Video_Lassing_001,Syringodium,30.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:18:13:33,00:18:35:00,Video_Lassing_001,Thalassia,60.0,100.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:18:13:33,00:18:35:00,Video_Lassing_001,Syringodium,40.0,100.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:18:35:33,00:19:15:00,Video_Lassing_001,Syringodium,80.0,90.0,Blackfly,,1.0,"very dense S, could be 100% but lot of glare",Jeromy,,,
MBSTest2024,6/25/2024,00:18:35:33,00:19:15:00,Video_Lassing_001,Thalassia,10.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:19:15:33,00:19:25:33,Video_Lassing_001,Syringodium,80.0,80.0,Blackfly,,1.0,"shorter, patchier S than last block",Jeromy,,,
MBSTest2024,6/25/2024,00:19:25:66,00:20:00:00,Video_Lassing_001,Thalassia,40.0,100.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:19:25:66,00:20:00:00,Video_Lassing_001,Syringodium,60.0,100.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:00:33,00:20:11:33,Video_Lassing_001,Thalassia,60.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:00:33,00:20:11:33,Video_Lassing_001,Syringodium,30.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:11:33,00:20:26:33,Video_Lassing_001,Thalassia,80.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:26:66,00:20:37:33,Video_Lassing_001,Thalassia,50.0,60.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:26:66,00:20:37:33,Video_Lassing_001,Syringodium,10.0,60.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:37:66,00:20:44:33,Video_Lassing_001,Thalassia,20.0,50.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:37:66,00:20:44:33,Video_Lassing_001,Syringodium,30.0,50.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:20:44:66,00:21:21:67,Video_Lassing_001,Syringodium,30.0,30.0,Blackfly,,1.0,mostly glare,Jeromy,,,
MBSTest2024,6/25/2024,00:21:22:00,00:21:24:33,Video_Lassing_001,Syringodium,0.0,0.0,Blackfly,,0.0,all white light,Jeromy,,,
MBSTest2024,6/25/2024,00:21:24:66,00:21:27:00,Video_Lassing_001,Syringodium,50.0,50.0,Blackfly,,1.0,heavy glare,Jeromy,,,
MBSTest2024,6/25/2024,00:21:27:33,00:21:31:67,Video_Lassing_001,Syringodium,0.0,0.0,Blackfly,,0.0,all white light,Jeromy,,,
MBSTest2024,6/25/2024,00:21:32:00,00:21:41:67,Video_Lassing_001,Syringodium,80.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:21:42:00,00:21:54:00,Video_Lassing_001,Syringodium,30.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:21:42:00,00:21:54:00,Video_Lassing_001,Thalassia,40.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:21:54:33,00:22:00:00,Video_Lassing_001,Syringodium,60.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:21:54:33,00:22:00:00,Video_Lassing_001,Thalassia,10.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:22:00:33,00:22:21:33,Video_Lassing_001,Syringodium,40.0,40.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:22:21:66,00:23:00:67,Video_Lassing_001,Syringodium,10.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:22:21:66,00:23:00:67,Video_Lassing_001,Thalassia,60.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:23:01:00,00:23:06:67,Video_Lassing_001,Syringodium,80.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:23:07:00,00:23:23:33,Video_Lassing_001,Thalassia,70.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:23:23:66,00:23:27:00,Video_Lassing_001,Syringodium,80.0,80.0,Blackfly,,1.0,bright patch on right side,Jeromy,,,
MBSTest2024,6/25/2024,00:23:27:33,00:23:31:67,Video_Lassing_001,Syringodium,40.0,40.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:23:32:00,00:23:46:33,Video_Lassing_001,Syringodium,90.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:23:46:66,00:23:51:00,Video_Lassing_001,Syringodium,80.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:23:46:66,00:23:51:00,Video_Lassing_001,Thalassia,10.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:23:51:00,00:23:53:33,Video_Lassing_001,Syringodium,80.0,80.0,Blackfly,,1.0,begins moving very fast,Jeromy,,,
MBSTest2024,6/25/2024,00:23:53:67,00:23:54:67,Video_Lassing_001,Syringodium,10.0,10.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:23:55:00,00:23:56:00,Video_Lassing_001,Syringodium,80.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:23:56:33,00:23:59:33,Video_Lassing_001,Thalassia,80.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:23:59:66,00:24:06:33,Video_Lassing_001,Syringodium,70.0,70.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:24:06:66,00:24:13:00,Video_Lassing_001,Thalassia,80.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:24:13:33,00:24:15:67,Video_Lassing_001,Thalassia,0.0,0.0,Blackfly,,0.0,briefly goes all white then turns back to previous patch,Jeromy,,,
MBSTest2024,6/25/2024,00:24:16:00,00:24:40:67,Video_Lassing_001,Syringodium,40.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:24:16:00,00:24:41:67,Video_Lassing_001,Thalassia,40.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:24:42:00,00:24:47:00,Video_Lassing_001,Thalassia,80.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:24:47:33,00:24:53:33,Video_Lassing_001,Syringodium,80.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:24:47:33,00:24:53:33,Video_Lassing_001,Thalassia,10.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:24:53:66,00:25:20:33,Video_Lassing_001,Thalassia,80.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:25:20:66,00:25:28:33,Video_Lassing_001,Syringodium,70.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:25:20:66,00:25:28:33,Video_Lassing_001,Thalassia,20.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:25:28:66,00:25:50:00,Video_Lassing_001,Syringodium,80.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:25:50:33,00:25:58:33,Video_Lassing_001,Syringodium,20.0,20.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:25:58:66,00:26:01:67,Video_Lassing_001,Syringodium,90.0,90.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:26:02:00,00:26:09:00,Video_Lassing_001,Syringodium,50.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:26:02:00,00:26:09:00,Video_Lassing_001,Thalassia,30.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:26:09:33,00:26:12:33,Video_Lassing_001,Thalassia,80.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:26:12:66,00:26:14:00,Video_Lassing_001,Thalassia,30.0,30.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:26:14:33,00:26:23:67,Video_Lassing_001,Syringodium,10.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:26:14:33,00:26:23:67,Video_Lassing_001,Thalassia,70.0,80.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:26:24:00,00:26:36:33,Video_Lassing_001,Syringodium,100.0,100.0,Blackfly,,1.0,,Jeromy,,,
MBSTest2024,6/25/2024,00:26:36:66,00:26:47:33,Video_Lassing_001,Syringodium,40.0,80.0,Blackfly,,1.0,,Jeromy,slightly blurry video so uncertain of T/S,,
MBSTest2024,6/25/2024,00:26:36:66,00:26:47:33,Video_Lassing_001,Thalassia,40.0,80.0,Blackfly,,1.0,,Jeromy,,,
